annotation_id,item_id,movieId,title,genres,release_date,poster_url,overview,vlm_visual_information_gap_score,vlm_cross_modal_gap_score,vlm_reason,vlm_main_objects,vlm_setting,vlm_visible_action,vlm_missing_information,vlm_genre_ambiguity,vlm_emotional_tension,vlm_implied_question,score_bin,human_missing_context_1_5,human_visual_ambiguity_1_5,human_emotional_tension_1_5,human_curiosity_1_5,human_notes
A001,849,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,1996-08-09,https://image.tmdb.org/t/p/w500/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg,Into the 9.6-quaked Los Angeles of 2013 comes Snake Plissken. His job: wade through L.A.'s ruined landmarks to retrieve a doomsday device.,1.0,0.6136111111111112,the image implies an unresolved question: What is the relationship between the man with the gun and the surfing activity?,gun | man with eyepatch | surfboard | waves | palm trees,a beach with palm trees and waves crashing into the shore,a man holding a gun while surfing,the man's face without the eyepatch | the exact location of the gun | the time of day | the weather conditions | the identity of the man,action | thriller | adventure,danger | intense focus | excitement,What is the relationship between the man with the gun and the surfing activity?,high,,,,,
A002,466,466,Hot Shots! Part Deux (1993),Action|Comedy|War,1993-05-21,https://image.tmdb.org/t/p/w500/zh9EGK970GHo10ETclWBOjZVUOK.jpg,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",1.0,0.7074561403508772,the image implies an unresolved question: What is the significance of the chicken in this scene?,man holding bow | white chicken | fire background | text 'HOT SHOTS! PART DEUX' | man's headband,fiery backdrop suggesting a dramatic or intense scenario,holding a bow,exact details of the man's face | specific type of bow being used | the exact color of the chicken's beak | whether the chicken is alive or dead | the specific location where this scene takes place,action | comedy | fantasy,dramatic | funny | confusing,What is the significance of the chicken in this scene?,high,,,,,
A003,3011,3011,"They Shoot Horses, Don't They? (1969)",Drama,1969-12-10,https://image.tmdb.org/t/p/w500/7wVLBgriOQpT5RrufAFCdCSUp7M.jpg,"In the midst of the Great Depression, manipulative emcee Rocky enlists contestants for a dance marathon offering a $1,500 cash prize. Among them are a failed actress, a middle-aged sailor, a delusional blonde and a pregnant girl.",0.8,0.8017543859649123,"the image implies an unresolved question: What is the significance of the phrase 'They Shoot Horses, Don't They?' in this image?","disco ball | people's faces | man singing into microphone | text 'THEY SHOOT HORSES, DON'T THEY?'",a disco setting with colorful lights and a large disco ball,"people's faces are superimposed onto the disco ball, creating a collage effect",the exact expressions of the people's faces | the specific colors of the disco ball | the background details beyond the disco ball | the full body of the man singing into the microphone | the precise location of the text,drama | comedy | music video,excitement | nostalgia | mystery,"What is the significance of the phrase 'They Shoot Horses, Don't They?' in this image?",middle,,,,,
A004,1862,1862,Species II (1998),Horror|Sci-Fi,1998-04-10,https://image.tmdb.org/t/p/w500/8LSBi0bHACZtIiVErUBQ2UXNYLA.jpg,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",0.6,0.8642605633802818,the image implies an unresolved question: What is the relationship between the alien creature and the human female character?,Alien creature | Human female character | Red background | Spotted eyes | Finger,"A dark, starry space environment.",The alien creature is holding the human female's finger.,The full body of the human female character.,Science fiction | Horror | Action,Fear | Suspense | Intimidation,What is the relationship between the alien creature and the human female character?,low,,,,,
A005,2457,2457,Running Scared (1986),Action|Comedy,1986-06-27,https://image.tmdb.org/t/p/w500/nSiRjhc7aTVPonXAhmTZAPqd2jT.jpg,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.,0.7000000000000001,0.8580357142857143,the image implies an unresolved question: What is the significance of the police car being spray-painted with 'IN MARKETS POLICE CAR'?,Gregory Hines | Billy Crystal | Police car | Building facade | Graffiti,"Urban street at night, featuring a brick building with red windows and graffiti.",Two men standing next to a police car with graffiti reading 'IN MARKETS POLICE CAR'.,The faces of Gregory Hines and Billy Crystal. | The exact location of the police car relative to the building.,Comedy | Crime | Drama,Humor | Suspense | Irony,What is the significance of the police car being spray-painted with 'IN MARKETS POLICE CAR'?,low,,,,,
A006,1029,1029,Dumbo (1941),Animation|Children|Drama|Musical,1941-10-31,https://image.tmdb.org/t/p/w500/4x9FmvdJ464Fg7A9XcbYSmxfVw3.jpg,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",0.6,0.891326530612245,the image implies an unresolved question: What is happening to Dumbo?,Dumbo | Jumbo | Circus tent | Feathered hat | Red cape,A circus tent with a clear blue sky and fluffy clouds in the background.,Flying,The exact location of Dumbo within the circus tent.,Animation | Children's film | Comedy,Excitement | Adventure | Joy,What is happening to Dumbo?,low,,,,,
A007,2730,2730,Barry Lyndon (1975),Drama|Romance|War,1975-12-18,https://image.tmdb.org/t/p/w500/A0byHUHMwZ7dtBQtfZ44QIgDbjo.jpg,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",0.7000000000000001,0.965625,the image implies an unresolved question: What is the significance of the gun in this scene?,Barry Lyndon | gun | flowers | castle | children,Victorian-era countryside with a castle in the background.,"A couple is kissing under a tree, while children play nearby.",The exact location within the castle grounds. | The identity of the characters outside the frame.,Historical drama | Romantic comedy | Adventure,Love | Adoration | Nostalgia,What is the significance of the gun in this scene?,low,,,,,
A008,526,526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,1992-10-21,https://image.tmdb.org/t/p/w500/wPzs0G2LV6shi0zpxdYOVZcuBDP.jpg,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura, does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.",0.8,0.8398148148148149,the image implies an unresolved question: What is the person trying to achieve?,person | watch | text | wall | hand,"indoor, possibly at night, with warm lighting","person leaning against wall, hand reaching out","exact location (e.g., room, hallway) | person's identity | reason for person's position | time of day | weather conditions",drama | romance | mystery,loneliness | desperation | urgency,What is the person trying to achieve?,middle,,,,,
A009,3089,3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,1948-07-21,https://image.tmdb.org/t/p/w500/iPdVqIpmR3bRvOQJPrn4pr2KR3q.jpg,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",0.8,0.8319672131147542,the image implies an unresolved question: What is the relationship between the man and the child?,man wearing a hat | child squatting down | bicycle | snowy ground | cloudy sky,winter landscape with snow-covered ground and a cloudy sky.,sitting and talking,the bicycle's location relative to the characters | the exact color of the man's coat | the child's facial expression | the weather conditions at the time of the photo | the specific type of hat worn by the man,drama | western | family film,sadness | hope | curiosity,What is the relationship between the man and the child?,middle,,,,,
A010,2424,2424,You've Got Mail (1998),Comedy|Romance,1998-12-18,https://image.tmdb.org/t/p/w500/e2uVtH6TpMfUl7WeOM70ezkcjsU.jpg,Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.,0.6,0.6431034482758622,the image implies an unresolved question: What is the relationship between the two people in the image?,Tom Hanks | Meg Ryan | dog | keyboard | text 'You've Got Mail',"A bright, outdoor scene with greenery in the background.","Two people standing next to each other, with one person hugging another from behind, and a dog standing nearby.",The specific location or setting details beyond the immediate surroundings.,Comedy | Romance | Drama,Love | Happiness | Embracing,What is the relationship between the two people in the image?,low,,,,,
A011,364,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1994-06-15,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",0.6,0.8236024844720498,the image implies an unresolved question: What is Simba's next move in this tense situation?,Simba | Scar | Timon | Pumbaa | Mufasa,"A warm, fiery background suggesting a dramatic or intense moment.","Simba is looking over his shoulder towards Scar and Timon/Pumbaa, who are standing behind him.",The exact location or setting beyond the fiery backdrop.,Animation | Adventure | Family,Determination | Conflict | Adversity,What is Simba's next move in this tense situation?,low,,,,,
A012,2151,2151,"Gods Must Be Crazy II, The (1989)",Comedy,1989-07-01,https://image.tmdb.org/t/p/w500/sxPpBTB2Rd5PHs97E2zn0t9GCSp.jpg,"Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a couple of soldiers trying to capture each other and a pilot and passenger of a small plane, who are each having a few problems of their own.",1.0,0.8423611111111112,the image implies an unresolved question: What is happening to the woman in the red dress?,"a woman in a red dress | a rhinoceros | three people (two adults, one child) | an ostrich | a helicopter",a desert landscape with animals and people,the woman is being lifted into the air by the helicopter,the exact location of the helicopter's landing pad | the reason why the woman is being lifted | the identity of the man inside the helicopter | the expressions of the three people | the background details behind the animals,comedy | action | fantasy,surprise | amazement | excitement,What is happening to the woman in the red dress?,high,,,,,
A013,2430,2430,Mighty Joe Young (1949),Adventure|Children|Drama,1949-07-13,https://image.tmdb.org/t/p/w500/tTTS9Bi7JReyGpCKyDuyZNSLTT4.jpg,"A young woman, Jill Young, grew up on her father's ranch in Africa, raising a large gorilla named Joe from an infant. Years later, she brings him to Hollywood to become a star.",1.0,0.9508928571428572,the image implies an unresolved question: What is the purpose of the event where a giant gorilla lifts a piano?,giant gorilla | woman in pink dress | grand piano | people in formal attire | text 'MIGHTY JOE YOUNG',a formal event with people dressed in suits and a grand piano in the background.,the gorilla is lifting the piano above its head while the woman plays it.,"the exact location (e.g., theater, ballroom) | the time of day | the reason for the event | the expressions of the people in the background | the color of the gorilla's skin",comedy | fantasy | musical,amazement | entertainment | surprise,What is the purpose of the event where a giant gorilla lifts a piano?,high,,,,,
A014,2320,2320,Apt Pupil (1998),Drama|Thriller,1998-10-23,https://image.tmdb.org/t/p/w500/pU3fvfSvrs5pZFdODPCzoLk95Ws.jpg,"One day in 1984, Todd Bowden, a brilliant high school boy fascinated by the history of Nazism, stumbles across an old man whose appearance resembles that of Kurt Dussander, a wanted Nazi war criminal. A month later, Todd decides to knock on his door.",0.9000000000000001,0.9601449275362319,the image implies an unresolved question: What is the relationship between the two individuals depicted?,Graduation cap | Nazi uniform | Red tassel | Glasses | Man's face,"A historical or wartime setting, possibly a school or military environment.","The graduation cap suggests a formal event, while the Nazi uniform indicates a historical or wartime context.",The background details are unclear. | The expressions of both individuals are not fully visible.,Historical drama | War film | Educational documentary,Respect | Contrast | Curiosity,What is the relationship between the two individuals depicted?,high,,,,,
A015,230,230,Dolores Claiborne (1995),Drama|Thriller,1995-03-24,https://image.tmdb.org/t/p/w500/iQuwx3UAyXbE9tzdM3jLqtbogc4.jpg,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",0.7000000000000001,0.8673780487804879,the image implies an unresolved question: What might be the relationship between the two individuals?,Dolores Claiborne | a woman with long hair | a house at sunset | a person wearing a hat | a person with a serious expression,A rural landscape during sunset with a house in the background.,"Two people are looking towards each other, possibly conversing or observing something together.",The faces of the two individuals are partially obscured. | The exact expressions of the individuals are unclear due to the lighting.,Drama | Mystery | Horror,Seriousness | Curiosity | Suspense,What might be the relationship between the two individuals?,low,,,,,
A016,2295,2295,"Impostors, The (1998)",Comedy,1998-10-02,https://image.tmdb.org/t/p/w500/pnL8MvYje9DOZTuTnF04k8RUkSL.jpg,"Wrongly accused of physically abusing a fellow actor, starving thespians Arthur and Maurice find themselves pursued by the law aboard a cruise ship.",0.8,0.8250000000000001,the image implies an unresolved question: What is the relationship between the two men and why are they pointing at each other?,two men wearing suits | one man pointing at the other | orange background | text 'The Impostors' | hat worn by both men,"a simple, orange background",pointing,names of the actors | specific details about the suits | the exact expressions of the men | any additional props or accessories | the location where this scene takes place,comedy | drama | historical fiction,confusion | misdirection | suspense,What is the relationship between the two men and why are they pointing at each other?,middle,,,,,
A017,3527,3527,Predator (1987),Action|Sci-Fi|Thriller,1987-06-12,https://image.tmdb.org/t/p/w500/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,0.8,0.8687500000000001,the image implies an unresolved question: What is the significance of the yellow and red splatter effect?,man holding gun | green leafy background | text 'Predator' | yellow and red splatter effect | man's muscular arms,jungle or forest environment,holding a gun,identity of the man | exact location of the man | type of weapon being held | weather conditions | additional details about the splatter effect,action | science fiction | horror,intense | dangerous | confident,What is the significance of the yellow and red splatter effect?,middle,,,,,
A018,63,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996-01-12,https://image.tmdb.org/t/p/w500/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",0.8,0.8806250000000001,the image implies an unresolved question: What is the relationship between the two men and their toy guns?,two men holding toy guns | one man wearing a blue shirt | the other man wearing a plaid shirt | a green and yellow toy gun | pink slippers worn by the man in the blue shirt,"an abstract, stylized background that resembles a piece of paper or canvas",holding toy guns,the faces of the men | the exact location where the men are standing | the color of the ground beneath them | any text or logos beyond the main title | the specific type of toy guns being held,cartoon | comedy | humor,playfulness | innocence | mockery,What is the relationship between the two men and their toy guns?,middle,,,,,
A019,2150,2150,"Gods Must Be Crazy, The (1980)",Adventure|Comedy,1980-09-10,https://image.tmdb.org/t/p/w500/wntGWN2mpeS3QaUm1PTKAcTM9K7.jpg,A Coca-Cola bottle dropped from an airplane raises havoc among a normally peaceful tribe of African bushmen who believe it to be a utensil of the gods.,1.0,0.9551020408163267,the image implies an unresolved question: What is causing the chaos depicted in this image?,bottle | airplane | stop sign | people running | soldiers,a chaotic scene with people running and soldiers holding guns.,running away from soldiers and towards a stop sign.,"the exact location of the scene (e.g., city street) | the reason why people are running | who the soldiers are protecting against | what the airplane is doing | the color of the bottle",cartoon | comic book | political satire,anxiety | fear | confusion,What is causing the chaos depicted in this image?,high,,,,,
A020,1695,1695,Artemisia (1997),Drama,1997-09-10,https://image.tmdb.org/t/p/w500/5mMzt0Cw99wNk0xTT7YOdRxaqZp.jpg,"The story of Artemisia Gentileschi (1593-1653), one of the first well-known female painters, including her youth, when she was guided and protected by her father, the painter Orazio Gentileschi.",0.6,0.8265957446808512,the image implies an unresolved question: What is Michel Serrault doing in this image?,Michel Serrault | Valentina Cervi | Miki Manojlovic | Artemisia | A person making a hand gesture,The background appears to be a stage or performance setting.,Making a hand gesture that resembles a phone call.,The specific details of the performance or event.,Drama | Musical | Theater,Excitement | Confidence | Engagement,What is Michel Serrault doing in this image?,low,,,,,
A021,3697,3697,Predator 2 (1990),Action|Sci-Fi|Thriller,1990-11-21,https://image.tmdb.org/t/p/w500/83X4VwY9sdSJykskmsplIVG0a4h.jpg,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,0.8,0.8687500000000001,the image implies an unresolved question: What is the Predator planning to do next?,Predator | skull | gun | cityscape | night sky,A city at night with tall buildings and a dark sky.,"The Predator is holding a skull and a gun, standing on a ledge overlooking the city.",The Predator's face is not clearly visible. | There are no other characters present in the image. | The exact location of the cityscape is unclear.,Action | Science Fiction | Horror,Fear | Suspense | Adrenaline,What is the Predator planning to do next?,middle,,,,,
A022,2726,2726,"Killing, The (1956)",Crime|Film-Noir,1956-06-06,https://image.tmdb.org/t/p/w500/A6VzUPcADZGYdGHlVdWvpMNDF5d.jpg,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",1.0,0.9876404494382023,the image implies an unresolved question: What is the reason behind the man's presence with the rifle and the group of people on horseback?,man holding a rifle | money scattered on the ground | group of people on horseback | black hat worn by man | blue sky background,Western scene with a man holding a rifle and money scattered on the ground.,The man appears to be pointing his rifle at something off-screen while standing next to a group of people on horseback.,"exact location (e.g., town square) | reason for the man's presence with the rifle | identity of the people on horseback | weather conditions (e.g., rain) | specific time of day",western | crime drama | historical fiction,anxiety | danger | conflict,What is the reason behind the man's presence with the rifle and the group of people on horseback?,high,,,,,
A023,2327,2327,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller,1990-05-03,https://image.tmdb.org/t/p/w500/5q8WK4gW45Knxhpb29IVOCbbfI7.jpg,A young boy tells three stories of horror to distract a witch who plans to eat him.,1.0,0.8625862068965517,the image implies an unresolved question: What is the significance of the monster reading the book?,hands holding an open book | a monstrous face emerging from the pages | lightning bolts | the title 'Tales From The Darkside THE MOVIE',"a dark, ominous environment with red and blue hues, possibly representing a supernatural or horror setting.","a monstrous face is emerging from the pages of an open book held by two hands, suggesting a connection between the book's contents and the monster.",the exact location where the book is being read | the identity of the monster | the reason why the monster is reading the book,horror | supernatural | dark fantasy,fear | curiosity | anticipation,What is the significance of the monster reading the book?,high,,,,,
A024,728,728,Cold Comfort Farm (1995),Comedy,1995-01-01,https://image.tmdb.org/t/p/w500/fkPm7MQhn3YqcRDM9qFDKNHiw7D.jpg,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process.",0.8,0.8419117647058825,the image implies an unresolved question: What is the significance of the road sign and the suitcases?,two women | suitcase | road sign | suitcases | landscape,rural road with greenery and blue sky,standing next to suitcases,names of the women | exact location of the road sign | weather conditions | clothing details of the women | possible destination of the women,drama | comedy | historical fiction,anticipation | departure | nostalgia,What is the significance of the road sign and the suitcases?,middle,,,,,
A025,1810,1810,Primary Colors (1998),Comedy|Drama,1998-03-20,https://image.tmdb.org/t/p/w500/RXEgVSEBkMnV8LkEGkBpuz3mkD.jpg,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.",0.7000000000000001,0.6796296296296297,the image implies an unresolved question: What is the significance of this group's presence in front of the American flag?,John Travolta | Emma Thompson | Billy Bob Thornton | Adrian Lester | Maura Tierney,A formal event or gathering with a patriotic theme.,"Standing together, looking forward, possibly at an audience or a screen.","The exact location of the event (e.g., indoor or outdoor) | The specific occasion being depicted (e.g., political rally, award show)",Drama | Comedy | Politics,Confidence | Professionalism | Patriotism,What is the significance of this group's presence in front of the American flag?,low,,,,,
